日期,銷售方式,訂單來源,是否首次交易,客戶編號,客戶類別,國家,員工編號,部門,產品編號,產品類別,產品名稱,單價,成本,數量,營收,總成本,毛利,客訴
2018/5/14,直銷,實體參展,Y,99,餐廳,歐洲,455,業務2處,M001,設備機台,家用義式咖啡機," $7,990 "," $2,540 ", 55 ," $439,450 "," $139,700 "," $249,092 ",
2018/5/28,直銷,官網網站,Y,121,飯店,亞洲,258,業務1處,S001,售後服務,基本維修服務, $500 , $300 , 1 , $500 , $300 , $173 ,無任何客訴
2018/6/4,直銷,實體參展,Y,125,飯店,亞洲,679,業務1處,M006,設備機台,咖啡杯保溫機," $7,500 "," $5,530 ", 10 ," $75,000 "," $55,300 "," $18,616 ",
2018/6/9,直銷,實體參展,Y,124,飯店,亞洲,345,業務1處,C005,配件耗材,清潔劑, $400 , $50 , 25 ," $10,000 "," $1,250 "," $8,268 ",
2018/6/16,直銷,電銷業務,Y,29,企業用戶,美洲,455,業務2處,M002,設備機台,商用義式咖啡機," $26,180 "," $13,000 ", 47 ," $1,230,460 "," $611,000 "," $585,389 ",無法加熱水
2018/6/23,直銷,官網網站,Y,61,餐廳,亞洲,158,業務1處,S001,售後服務,基本維修服務, $500 , $300 , 1 , $500 , $300 , $164 ,
2018/6/23,經銷,合作經銷通路,Y,179,個人消費者,美洲,512,業務3處,F002,食品原料,咖啡膠囊, $260 , $150 ," 1,645 "," $427,700 "," $246,750 "," $152,359 ",無任何客訴
2018/7/4,直銷,官網網站,Y,117,飯店,亞洲,158,業務1處,F001,食品原料,義式濃縮咖啡豆, $560 , $250 ," 4,492 "," $2,515,520 "," $1,123,000 "," $1,315,931 ",異物殘留
2018/7/4,經銷,合作經銷通路,Y,178,個人消費者,美洲,512,業務3處,C002,配件耗材,密封圈, $300 , $170 , 11 ," $3,300 "," $1,870 "," $1,188 ",無任何客訴
2018/7/7,直銷,實體參展,Y,148,飯店,歐洲,931,業務2處,S001,售後服務,基本維修服務, $500 , $300 , 1 , $500 , $300 , $150 ,無任何客訴
2018/7/17,直銷,電銷業務,Y,32,企業用戶,美洲,455,業務2處,M006,設備機台,咖啡杯保溫機," $7,500 "," $5,530 ", 35 ," $262,500 "," $193,550 "," $61,434 ",
2018/8/11,直銷,電銷業務,Y,21,企業用戶,亞洲,345,業務1處,C002,配件耗材,密封圈, $300 , $170 , 16 ," $4,800 "," $2,720 "," $1,965 ",不正確的尺寸
2018/8/29,直銷,官網網站,Y,57,企業用戶,大洋洲,931,業務2處,F001,食品原料,義式濃縮咖啡豆, $560 , $250 ," 1,865 "," $1,044,400 "," $466,250 "," $461,363 ",無任何客訴
2018/9/2,直銷,電銷業務,Y,114,飯店,亞洲,679,業務1處,M006,設備機台,咖啡杯保溫機," $7,500 "," $5,530 ", 10 ," $75,000 "," $55,300 "," $18,143 ",
2018/9/6,直銷,官網網站,Y,116,飯店,亞洲,158,業務1處,S002,售後服務,進階維修服務," $1,000 ", $800 , 1 ," $1,000 ", $800 , $184 ,無任何客訴
2018/9/13,直銷,電銷業務,Y,5,企業用戶,亞洲,345,業務1處,M006,設備機台,咖啡杯保溫機," $7,500 "," $5,530 ", 76 ," $570,000 "," $420,280 "," $142,383 ",
2018/9/14,直銷,實體參展,Y,55,企業用戶,大洋洲,931,業務2處,F003,食品原料,美式咖啡豆, $420 , $120 ," 2,161 "," $907,620 "," $259,320 "," $612,643 ",
2018/9/19,直銷,電銷業務,Y,90,餐廳,美洲,142,業務2處,C003,配件耗材,過濾器, $500 , $460 , 3 ," $1,500 "," $1,380 ", $95 ,無任何客訴
2018/10/25,直銷,電銷業務,Y,33,企業用戶,美洲,455,業務2處,F003,食品原料,美式咖啡豆, $420 , $120 ," 2,750 "," $1,155,000 "," $330,000 "," $685,575 ",
2018/10/31,直銷,官網網站,Y,115,飯店,亞洲,679,業務1處,F003,食品原料,美式咖啡豆, $420 , $120 ," 2,385 "," $1,001,700 "," $286,200 "," $570,969 ",
2018/11/5,直銷,電銷業務,Y,6,企業用戶,亞洲,679,業務1處,F003,食品原料,美式咖啡豆, $420 , $120 ," 1,734 "," $728,280 "," $208,080 "," $451,013 ",
2019/1/3,直銷,實體參展,Y,157,飯店,歐洲,142,業務2處,F002,食品原料,咖啡膠囊, $260 , $150 , 606 ," $157,560 "," $90,900 "," $59,394 ",
2019/1/3,直銷,會員回購,N,27,企業用戶,亞洲,345,業務1處,M002,設備機台,商用義式咖啡機," $26,180 "," $13,000 ", 95 ," $2,487,100 "," $1,235,000 "," $1,054,268 ",無任何客訴
2019/1/11,直銷,實體參展,Y,143,飯店,美洲,142,業務2處,S003,售後服務,緊急維修服務," $3,000 "," $1,200 ", 1 ," $3,000 "," $1,200 "," $1,515 ",無任何客訴
2019/1/11,直銷,會員回購,N,128,飯店,亞洲,679,業務1處,M003,設備機台,美式咖啡機," $3,990 "," $1,250 ", 12 ," $47,880 "," $15,000 "," $30,282 ",咖啡機停止運作
2019/1/14,直銷,官網網站,Y,14,企業用戶,亞洲,158,業務1處,M001,設備機台,家用義式咖啡機," $7,990 "," $2,540 ", 92 ," $735,080 "," $233,680 "," $400,117 ",無任何客訴
2019/1/14,直銷,會員回購,N,1,企業用戶,亞洲,158,業務1處,F002,食品原料,咖啡膠囊, $260 , $150 , 980 ," $254,800 "," $147,000 "," $89,581 ",無任何客訴
2019/1/30,直銷,實體參展,Y,134,飯店,亞洲,258,業務1處,M001,設備機台,家用義式咖啡機," $7,990 "," $2,540 ", 12 ," $95,880 "," $30,480 "," $49,180 ",
2019/1/30,直銷,會員回購,N,120,飯店,亞洲,258,業務1處,S002,售後服務,進階維修服務," $1,000 ", $800 , 1 ," $1,000 ", $800 , $189 ,無任何客訴
2019/2/21,直銷,實體參展,Y,52,企業用戶,大洋洲,142,業務2處,C003,配件耗材,過濾器, $500 , $460 , 2 ," $1,000 ", $920 , $76 ,
2019/2/21,直銷,會員回購,N,64,餐廳,亞洲,258,業務1處,S002,售後服務,進階維修服務," $1,000 ", $800 , 1 ," $1,000 ", $800 , $168 ,無任何客訴
2019/3/1,直銷,實體參展,Y,34,企業用戶,美洲,455,業務2處,S002,售後服務,進階維修服務," $1,000 ", $800 , 1 ," $1,000 ", $800 , $184 ,
2019/3/1,經銷,合作經銷通路,Y,184,個人消費者,大洋洲,512,業務3處,F003,食品原料,美式咖啡豆, $420 , $120 , 973 ," $408,660 "," $116,760 "," $219,508 ",無任何客訴
2019/3/1,直銷,會員回購,N,95,餐廳,歐洲,931,業務2處,F003,食品原料,美式咖啡豆, $420 , $120 ," 2,661 "," $1,117,620 "," $319,320 "," $759,183 ",
2019/4/2,直銷,實體參展,Y,92,餐廳,美洲,142,業務2處,M006,設備機台,咖啡杯保溫機," $7,500 "," $5,530 ", 92 ," $690,000 "," $508,760 "," $152,604 ",
2019/4/2,直銷,會員回購,N,31,企業用戶,美洲,931,業務2處,M003,設備機台,美式咖啡機," $3,990 "," $1,250 ", 73 ," $291,270 "," $91,250 "," $190,219 ",無任何客訴
2019/4/4,直銷,官網網站,Y,130,飯店,亞洲,158,業務1處,F001,食品原料,義式濃縮咖啡豆, $560 , $250 ," 1,491 "," $834,960 "," $372,750 "," $425,695 ",發霉
2019/4/4,經銷,會員回購,N,183,個人消費者,大洋洲,512,業務3處,C003,配件耗材,過濾器, $500 , $460 , 4 ," $2,000 "," $1,840 ", $138 ,包裝破損
2019/4/9,直銷,實體參展,Y,43,企業用戶,歐洲,931,業務2處,S001,售後服務,基本維修服務, $500 , $300 , 1 , $500 , $300 , $190 ,
2019/4/9,直銷,會員回購,N,60,企業用戶,大洋洲,931,業務2處,S002,售後服務,進階維修服務," $1,000 ", $800 , 1 ," $1,000 ", $800 , $159 ,無任何客訴
2019/4/17,直銷,實體參展,Y,159,飯店,大洋洲,455,業務2處,M001,設備機台,家用義式咖啡機," $7,990 "," $2,540 ", 27 ," $215,730 "," $68,580 "," $123,900 ",
2019/4/17,直銷,會員回購,N,35,企業用戶,美洲,455,業務2處,S003,售後服務,緊急維修服務," $3,000 "," $1,200 ", 1 ," $3,000 "," $1,200 "," $1,436 ",無任何客訴
2019/4/18,直銷,實體參展,Y,8,企業用戶,亞洲,345,業務1處,C001,配件耗材,濾紙, $120 , $30 , 57 ," $6,840 "," $1,710 "," $4,447 ",
2019/4/18,直銷,會員回購,N,127,飯店,亞洲,679,業務1處,M005,設備機台,咖啡研磨機," $3,675 ", $890 , 50 ," $183,750 "," $44,500 "," $132,426 ",咖啡機停止運作
2019/4/25,直銷,實體參展,Y,101,餐廳,歐洲,455,業務2處,M003,設備機台,美式咖啡機," $3,990 "," $1,250 ", 7 ," $27,930 "," $8,750 "," $16,629 ",
2019/4/25,直銷,會員回購,N,66,餐廳,亞洲,679,業務1處,M003,設備機台,美式咖啡機," $3,990 "," $1,250 ", 40 ," $159,600 "," $50,000 "," $95,023 ",無任何客訴
2019/5/26,直銷,官網網站,Y,96,餐廳,歐洲,931,業務2處,C002,配件耗材,密封圈, $300 , $170 , 72 ," $21,600 "," $12,240 "," $7,778 ",無任何客訴
2019/5/26,直銷,會員回購,N,30,企業用戶,美洲,142,業務2處,M004,設備機台,膠囊咖啡機," $2,990 ", $560 ," 2,475 "," $7,400,250 "," $1,386,000 "," $4,522,716 ",
2019/6/7,直銷,實體參展,Y,78,餐廳,亞洲,258,業務1處,C001,配件耗材,濾紙, $120 , $30 , 274 ," $32,880 "," $8,220 "," $20,492 ",無任何客訴
2019/6/7,直銷,會員回購,N,156,飯店,歐洲,455,業務2處,F002,食品原料,咖啡膠囊, $260 , $150 , 980 ," $254,800 "," $147,000 "," $99,283 ",無任何客訴
2019/7/9,直銷,電銷業務,Y,146,飯店,美洲,142,業務2處,M003,設備機台,美式咖啡機," $3,990 "," $1,250 ", 80 ," $319,200 "," $100,000 "," $208,459 ",
2019/7/9,直銷,會員回購,N,99,餐廳,歐洲,455,業務2處,M001,設備機台,家用義式咖啡機," $7,990 "," $2,540 ", 61 ," $487,390 "," $154,940 "," $276,265 ",無任何客訴
2019/7/14,直銷,電銷業務,Y,13,企業用戶,亞洲,158,業務1處,S003,售後服務,緊急維修服務," $3,000 "," $1,200 ", 1 ," $3,000 "," $1,200 "," $1,711 ",
2019/7/14,直銷,會員回購,N,121,飯店,亞洲,258,業務1處,M006,設備機台,咖啡杯保溫機," $7,500 "," $5,530 ", 45 ," $337,500 "," $248,850 "," $76,859 ",咖啡機停止運作
2019/7/22,直銷,電銷業務,Y,47,企業用戶,歐洲,455,業務2處,M006,設備機台,咖啡杯保溫機," $7,500 "," $5,530 ", 70 ," $525,000 "," $387,100 "," $113,078 ",無任何客訴
2019/7/22,經銷,合作經銷通路,Y,167,個人消費者,亞洲,512,業務3處,M003,設備機台,美式咖啡機," $3,990 "," $1,250 ", 53 ," $211,470 "," $66,250 "," $119,080 ",無任何客訴
2019/7/22,直銷,會員回購,N,125,飯店,亞洲,679,業務1處,F001,食品原料,義式濃縮咖啡豆, $560 , $250 ," 1,987 "," $1,112,720 "," $496,750 "," $567,308 ",無任何客訴
2019/7/28,直銷,電銷業務,Y,9,企業用戶,亞洲,345,業務1處,M004,設備機台,膠囊咖啡機," $2,990 ", $560 , 554 ," $1,656,460 "," $310,240 "," $1,199,482 ",無任何客訴
2019/7/28,直銷,會員回購,N,124,飯店,亞洲,345,業務1處,M001,設備機台,家用義式咖啡機," $7,990 "," $2,540 ", 62 ," $495,380 "," $157,480 "," $319,315 ",咖啡機停止運作
2019/8/3,直銷,實體參展,Y,85,餐廳,美洲,455,業務2處,M005,設備機台,咖啡研磨機," $3,675 ", $890 , 55 ," $202,125 "," $48,950 "," $141,074 ",
2019/8/3,直銷,會員回購,N,29,企業用戶,美洲,455,業務2處,S001,售後服務,基本維修服務, $500 , $300 , 1 , $500 , $300 , $168 ,無任何客訴
2019/8/11,直銷,實體參展,Y,126,飯店,亞洲,345,業務1處,F003,食品原料,美式咖啡豆, $420 , $120 ," 3,850 "," $1,617,000 "," $462,000 "," $868,560 ",
2019/8/11,直銷,會員回購,N,61,餐廳,亞洲,158,業務1處,C003,配件耗材,過濾器, $500 , $460 , 7 ," $3,500 "," $3,220 ", $229 ,
2019/8/18,直銷,電銷業務,Y,63,餐廳,亞洲,679,業務1處,C003,配件耗材,過濾器, $500 , $460 , 5 ," $2,500 "," $2,300 ", $166 ,
2019/8/18,經銷,會員回購,N,179,個人消費者,美洲,512,業務3處,M005,設備機台,咖啡研磨機," $3,675 ", $890 , 1 ," $3,675 ", $890 ," $2,648 ",無任何客訴
2019/9/3,直銷,電銷業務,Y,54,企業用戶,大洋洲,142,業務2處,M006,設備機台,咖啡杯保溫機," $7,500 "," $5,530 ", 35 ," $262,500 "," $193,550 "," $51,850 ",無任何客訴
2019/9/3,直銷,會員回購,N,117,飯店,亞洲,158,業務1處,M004,設備機台,膠囊咖啡機," $2,990 ", $560 , 555 ," $1,659,450 "," $310,800 "," $1,242,106 ",無任何客訴
2019/9/6,直銷,電銷業務,Y,70,餐廳,亞洲,345,業務1處,F001,食品原料,義式濃縮咖啡豆, $560 , $250 ," 1,199 "," $671,440 "," $299,750 "," $351,247 ",
2019/9/6,經銷,會員回購,N,178,個人消費者,美洲,512,業務3處,C002,配件耗材,密封圈, $300 , $170 , 11 ," $3,300 "," $1,870 "," $1,239 ",無任何客訴
2019/9/8,直銷,官網網站,Y,7,企業用戶,亞洲,258,業務1處,S002,售後服務,進階維修服務," $1,000 ", $800 , 1 ," $1,000 ", $800 , $190 ,無任何客訴
2019/9/8,直銷,會員回購,N,148,飯店,歐洲,931,業務2處,F002,食品原料,咖啡膠囊, $260 , $150 ," 1,645 "," $427,700 "," $246,750 "," $161,226 ",無任何客訴
2019/9/27,直銷,實體參展,Y,152,飯店,歐洲,455,業務2處,M006,設備機台,咖啡杯保溫機," $7,500 "," $5,530 ", 99 ," $742,500 "," $547,470 "," $173,771 ",
2019/9/27,經銷,合作經銷通路,Y,182,個人消費者,美洲,512,業務3處,C004,配件耗材,壓力閥," $1,500 "," $1,200 ", 2 ," $3,000 "," $2,400 ", $534 ,無任何客訴
2019/9/27,直銷,會員回購,N,32,企業用戶,美洲,455,業務2處,S003,售後服務,緊急維修服務," $3,000 "," $1,200 ", 1 ," $3,000 "," $1,200 "," $1,603 ",無任何客訴
2019/10/8,直銷,實體參展,Y,77,餐廳,亞洲,258,業務1處,C004,配件耗材,壓力閥," $1,500 "," $1,200 ", 1 ," $1,500 "," $1,200 ", $260 ,無任何客訴
2019/10/8,直銷,會員回購,N,21,企業用戶,亞洲,345,業務1處,C004,配件耗材,壓力閥," $1,500 "," $1,200 ", 11 ," $16,500 "," $13,200 "," $3,039 ",無任何客訴
2019/10/16,直銷,官網網站,Y,129,飯店,亞洲,158,業務1處,M004,設備機台,膠囊咖啡機," $2,990 ", $560 ," 1,607 "," $4,804,930 "," $899,920 "," $3,479,363 ",咖啡機停止運作
2019/10/16,直銷,會員回購,N,57,企業用戶,大洋洲,931,業務2處,C004,配件耗材,壓力閥," $1,500 "," $1,200 ", 2 ," $3,000 "," $2,400 ", $478 ,包裝破損
2019/11/5,直銷,實體參展,Y,87,餐廳,美洲,455,業務2處,C004,配件耗材,壓力閥," $1,500 "," $1,200 ", 4 ," $6,000 "," $4,800 "," $1,105 ",
2019/11/5,直銷,會員回購,N,114,飯店,亞洲,679,業務1處,M002,設備機台,商用義式咖啡機," $26,180 "," $13,000 ", 14 ," $366,520 "," $182,000 "," $174,371 ",無任何客訴
2019/11/19,直銷,官網網站,Y,109,餐廳,大洋洲,931,業務2處,C004,配件耗材,壓力閥," $1,500 "," $1,200 ", 3 ," $4,500 "," $3,600 ", $828 ,無任何客訴
2019/11/19,直銷,會員回購,N,116,飯店,亞洲,158,業務1處,F003,食品原料,美式咖啡豆, $420 , $120 , 973 ," $408,660 "," $116,760 "," $253,077 ",無任何客訴
2019/11/23,直銷,官網網站,Y,62,餐廳,亞洲,345,業務1處,M002,設備機台,商用義式咖啡機," $26,180 "," $13,000 ", 10 ," $261,800 "," $130,000 "," $124,551 ",
2019/11/27,直銷,實體參展,Y,98,餐廳,歐洲,455,業務2處,S003,售後服務,緊急維修服務," $3,000 "," $1,200 ", 1 ," $3,000 "," $1,200 "," $1,353 ",
2019/12/3,直銷,實體參展,Y,46,企業用戶,歐洲,455,業務2處,C005,配件耗材,清潔劑, $400 , $50 , 14 ," $5,600 ", $700 ," $4,365 ",
2019/12/13,直銷,電銷業務,Y,40,企業用戶,美洲,142,業務2處,M005,設備機台,咖啡研磨機," $3,675 ", $890 , 18 ," $66,150 "," $16,020 "," $47,372 ",無任何客訴
2020/1/11,直銷,官網網站,Y,118,飯店,亞洲,158,業務1處,C002,配件耗材,密封圈, $300 , $170 , 3 , $900 , $510 , $319 ,無任何客訴
2020/1/11,直銷,會員回購,N,66,餐廳,亞洲,679,業務1處,C004,配件耗材,壓力閥," $1,500 "," $1,200 ", 5 ," $7,500 "," $6,000 "," $1,230 ",無任何客訴
2020/1/20,直銷,電銷業務,Y,110,餐廳,大洋洲,931,業務2處,S001,售後服務,基本維修服務, $500 , $300 , 1 , $500 , $300 , $150 ,無任何客訴
2020/1/20,直銷,會員回購,N,30,企業用戶,美洲,142,業務2處,F002,食品原料,咖啡膠囊, $260 , $150 , 681 ," $177,060 "," $102,150 "," $66,744 ",無任何客訴
2020/1/28,直銷,官網網站,Y,69,餐廳,亞洲,345,業務1處,M004,設備機台,膠囊咖啡機," $2,990 ", $560 ," 2,579 "," $7,711,210 "," $1,444,240 "," $5,433,462 ",無任何客訴
2020/1/28,直銷,會員回購,N,156,飯店,歐洲,455,業務2處,F001,食品原料,義式濃縮咖啡豆, $560 , $250 ," 2,659 "," $1,489,040 "," $664,750 "," $694,052 ",無任何客訴
2020/1/31,直銷,電銷業務,Y,82,餐廳,美洲,142,業務2處,F002,食品原料,咖啡膠囊, $260 , $150 ," 1,937 "," $503,620 "," $290,550 "," $189,845 ",無任何客訴
2020/1/31,直銷,會員回購,N,99,餐廳,歐洲,455,業務2處,M001,設備機台,家用義式咖啡機," $7,990 "," $2,540 ", 49 ," $391,510 "," $124,460 "," $237,941 ",無任何客訴
2020/2/2,直銷,實體參展,Y,138,飯店,美洲,455,業務2處,C001,配件耗材,濾紙, $120 , $30 , 115 ," $13,800 "," $3,450 "," $9,532 ",
2020/2/2,直銷,會員回購,N,121,飯店,亞洲,258,業務1處,S003,售後服務,緊急維修服務," $3,000 "," $1,200 ", 1 ," $3,000 "," $1,200 "," $1,711 ",無任何客訴
2020/2/13,直銷,電銷業務,Y,89,餐廳,美洲,142,業務2處,M002,設備機台,商用義式咖啡機," $26,180 "," $13,000 ", 56 ," $1,466,080 "," $728,000 "," $588,987 ",咖啡機停止運作
2020/2/13,直銷,會員回購,N,125,飯店,亞洲,679,業務1處,C004,配件耗材,壓力閥," $1,500 "," $1,200 ", 7 ," $10,500 "," $8,400 "," $1,722 ",無任何客訴
2020/3/5,直銷,電銷業務,Y,42,企業用戶,歐洲,931,業務2處,C004,配件耗材,壓力閥," $1,500 "," $1,200 ", 6 ," $9,000 "," $7,200 "," $1,436 ",
2020/3/5,直銷,會員回購,N,124,飯店,亞洲,345,業務1處,M003,設備機台,美式咖啡機," $3,990 "," $1,250 ", 61 ," $243,390 "," $76,250 "," $153,935 ",無任何客訴
2020/3/19,直銷,官網網站,Y,37,企業用戶,美洲,142,業務2處,F002,食品原料,咖啡膠囊, $260 , $150 , 681 ," $177,060 "," $102,150 "," $63,074 ",無任何客訴
2020/3/19,直銷,會員回購,N,29,企業用戶,美洲,455,業務2處,M002,設備機台,商用義式咖啡機," $26,180 "," $13,000 ", 57 ," $1,492,260 "," $741,000 "," $564,947 ",無任何客訴
2020/3/26,直銷,實體參展,Y,80,餐廳,亞洲,258,業務1處,F001,食品原料,義式濃縮咖啡豆, $560 , $250 ," 2,659 "," $1,489,040 "," $664,750 "," $657,783 ",
2020/3/26,直銷,會員回購,N,61,餐廳,亞洲,158,業務1處,F001,食品原料,義式濃縮咖啡豆, $560 , $250 ," 1,987 "," $1,112,720 "," $496,750 "," $511,871 ",無任何客訴
2020/3/26,直銷,會員回購,N,52,企業用戶,大洋洲,142,業務2處,F002,食品原料,咖啡膠囊, $260 , $150 ," 3,165 "," $822,900 "," $474,750 "," $320,646 ",無任何客訴
2020/4/14,直銷,實體參展,Y,84,餐廳,美洲,455,業務2處,M001,設備機台,家用義式咖啡機," $7,990 "," $2,540 ", 32 ," $255,680 "," $81,280 "," $165,854 ",
2020/4/14,經銷,會員回購,N,179,個人消費者,美洲,512,業務3處,M002,設備機台,商用義式咖啡機," $26,180 "," $13,000 ", 26 ," $680,680 "," $338,000 "," $280,997 ",無任何客訴
2020/4/14,直銷,會員回購,N,64,餐廳,亞洲,258,業務1處,C005,配件耗材,清潔劑, $400 , $50 , 8 ," $3,200 ", $400 ," $2,646 ",無任何客訴
2020/4/21,直銷,實體參展,Y,38,企業用戶,美洲,142,業務2處,S003,售後服務,緊急維修服務," $3,000 "," $1,200 ", 1 ," $3,000 "," $1,200 "," $1,657 ",
2020/4/21,直銷,會員回購,N,117,飯店,亞洲,158,業務1處,M003,設備機台,美式咖啡機," $3,990 "," $1,250 ", 25 ," $99,750 "," $31,250 "," $64,732 ",無任何客訴
2020/4/21,直銷,會員回購,N,34,企業用戶,美洲,455,業務2處,S003,售後服務,緊急維修服務," $3,000 "," $1,200 ", 1 ," $3,000 "," $1,200 "," $1,701 ",
2020/5/18,直銷,官網網站,Y,162,飯店,大洋洲,455,業務2處,C004,配件耗材,壓力閥," $1,500 "," $1,200 ", 3 ," $4,500 "," $3,600 ", $738 ,無任何客訴
2020/5/18,經銷,會員回購,N,178,個人消費者,美洲,512,業務3處,M005,設備機台,咖啡研磨機," $3,675 ", $890 , 57 ," $209,475 "," $50,730 "," $119,376 ",咖啡機停止運作
2020/5/18,經銷,會員回購,N,184,個人消費者,大洋洲,512,業務3處,S002,售後服務,進階維修服務," $1,000 ", $800 , 1 ," $1,000 ", $800 , $178 ,無任何客訴
2020/5/31,直銷,實體參展,Y,161,飯店,大洋洲,455,業務2處,M003,設備機台,美式咖啡機," $3,990 "," $1,250 ", 25 ," $99,750 "," $31,250 "," $54,663 ",
2020/5/31,直銷,會員回購,N,148,飯店,歐洲,931,業務2處,S003,售後服務,緊急維修服務," $3,000 "," $1,200 ", 1 ," $3,000 "," $1,200 "," $1,515 ",無任何客訴
2020/5/31,直銷,會員回購,N,95,餐廳,歐洲,931,業務2處,S001,售後服務,基本維修服務, $500 , $300 , 1 , $500 , $300 , $166 ,無任何客訴
2020/6/1,直銷,實體參展,Y,164,飯店,大洋洲,931,業務2處,M002,設備機台,商用義式咖啡機," $26,180 "," $13,000 ", 57 ," $1,492,260 "," $741,000 "," $714,448 ",
2020/6/1,經銷,合作經銷通路,Y,172,個人消費者,亞洲,512,業務3處,F001,食品原料,義式濃縮咖啡豆, $560 , $250 ," 1,987 "," $1,112,720 "," $496,750 "," $491,544 ",發霉
2020/6/1,直銷,會員回購,N,32,企業用戶,美洲,455,業務2處,M006,設備機台,咖啡杯保溫機," $7,500 "," $5,530 ", 87 ," $652,500 "," $481,110 "," $148,595 ",無任何客訴
2020/6/1,直銷,會員回購,N,92,餐廳,美洲,142,業務2處,M004,設備機台,膠囊咖啡機," $2,990 ", $560 , 555 ," $1,659,450 "," $310,800 "," $1,076,222 ",無任何客訴
2020/6/7,直銷,電銷業務,Y,111,飯店,亞洲,345,業務1處,M002,設備機台,商用義式咖啡機," $26,180 "," $13,000 ", 25 ," $654,500 "," $325,000 "," $270,190 ",漏水
2020/6/7,直銷,會員回購,N,21,企業用戶,亞洲,345,業務1處,S001,售後服務,基本維修服務, $500 , $300 , 1 , $500 , $300 , $166 ,無任何客訴
2020/6/7,直銷,會員回購,N,31,企業用戶,美洲,931,業務2處,M004,設備機台,膠囊咖啡機," $2,990 ", $560 , 488 ," $1,459,120 "," $273,280 "," $1,028,123 ",無任何客訴
2020/6/14,直銷,電銷業務,Y,76,餐廳,亞洲,258,業務1處,M003,設備機台,美式咖啡機," $3,990 "," $1,250 ", 17 ," $67,830 "," $21,250 "," $40,384 ",
2020/6/14,直銷,會員回購,N,57,企業用戶,大洋洲,931,業務2處,M005,設備機台,咖啡研磨機," $3,675 ", $890 , 10 ," $36,750 "," $8,900 "," $20,943 ",咖啡機停止運作
2020/6/14,直銷,會員回購,N,130,飯店,亞洲,158,業務1處,C002,配件耗材,密封圈, $300 , $170 , 3 , $900 , $510 , $319 ,無任何客訴
2020/6/19,直銷,官網網站,Y,25,企業用戶,亞洲,679,業務1處,M005,設備機台,咖啡研磨機," $3,675 ", $890 , 51 ," $187,425 "," $45,390 "," $123,144 ",
2020/6/19,直銷,會員回購,N,114,飯店,亞洲,679,業務1處,C002,配件耗材,密封圈, $300 , $170 , 1 , $300 , $170 , $123 ,
2020/6/19,經銷,會員回購,N,183,個人消費者,大洋洲,512,業務3處,M003,設備機台,美式咖啡機," $3,990 "," $1,250 ", 83 ," $331,170 "," $103,750 "," $181,481 ",無任何客訴
